"topic_id","subject_id","topic_code","topic_name","description","display_order","is_active","created_at"
1,1,FAR-1.0,Development of Financial Reporting Framework,Standard-Setting Bodies and Regulation of the Accountancy Profession,1,1,"2026-01-16 09:13:22"
2,1,FAR-1.1,History and Functions of Standard-Setting Bodies,"IASB, IFRIC, SIC, FRSC, PIC",2,1,"2026-01-16 09:13:22"
3,1,FAR-1.2,Regulation of Accounting Profession,"Professional Regulatory Board, APO, Sectors of Practice",3,1,"2026-01-16 09:13:22"
4,1,FAR-2.0,Conceptual Framework for Financial Reporting,"Objectives, Qualitative Characteristics, Elements",4,1,"2026-01-16 09:13:22"
5,1,FAR-2.1,The Accounting Process,"Steps, Journals, Ledgers, Adjusting Entries",5,1,"2026-01-16 09:13:22"
6,1,FAR-2.2,Presentation of Financial Statements,"General Features, SFP, SCI, SCE, SCF",6,1,"2026-01-16 09:13:22"
7,1,FAR-2.3,Statement of Financial Position,"Definition of Elements, Classification",7,1,"2026-01-16 09:13:22"
8,1,FAR-2.4,Statement of Comprehensive Income,"Nature/Function of Expense, Continuing/Discontinued Operations",8,1,"2026-01-16 09:13:22"
9,1,FAR-2.5,Statement of Cash Flows,Direct and Indirect Methods,9,1,"2026-01-16 09:13:22"
10,1,FAR-2.6,Earnings Per Share,Basic EPS and Diluted EPS,10,1,"2026-01-16 09:13:22"
11,1,FAR-3.0,Cash and Cash Equivalents,"Nature, Composition, Bank Reconciliation, Petty Cash",11,1,"2026-01-16 09:13:22"
12,1,FAR-3.1,Financial Assets at FVPL,"Recognition, Measurement, Presentation",12,1,"2026-01-16 09:13:22"
13,1,FAR-3.2,Financial Assets at FVOCI,"Recognition, Measurement, Presentation",13,1,"2026-01-16 09:13:22"
14,1,FAR-3.3,Financial Assets at Amortized Cost,"Trade Receivables, Investment in Bonds",14,1,"2026-01-16 09:13:22"
15,1,FAR-3.4,Investment in Associates and Joint Ventures,Equity Method,15,1,"2026-01-16 09:13:22"
16,1,FAR-4.0,Inventories,"Nature, Cost Flow Assumptions, LCNRV, Estimation Methods",16,1,"2026-01-16 09:13:22"
17,1,FAR-4.1,"Property, Plant and Equipment","Recognition, Depreciation, Revaluation, Impairment",17,1,"2026-01-16 09:13:22"
18,1,FAR-4.2,Borrowing Costs,Capitalization of Borrowing Costs,18,1,"2026-01-16 09:13:22"
19,1,FAR-4.3,Investment Property,"Cost Model, Fair Value Model",19,1,"2026-01-16 09:13:22"
20,1,FAR-4.4,Intangible Assets,"Recognition, Amortization, Impairment",20,1,"2026-01-16 09:13:22"
21,1,FAR-4.5,Biological Assets,"Nature, Measurement, Agricultural Produce",21,1,"2026-01-16 09:13:22"
22,1,FAR-4.6,Non-current Assets Held for Sale,"Classification, Measurement",22,1,"2026-01-16 09:13:22"
23,1,FAR-5.0,Financial Liabilities,"Classification, Effective Interest Method, Troubled Debt",23,1,"2026-01-16 09:13:22"
24,1,FAR-6.0,Non-financial Liabilities and Provisions,"Customer Loyalty, Warranties, Contingencies",24,1,"2026-01-16 09:13:22"
25,1,FAR-7.0,Share Capital Transactions,"Issuance, Treasury Shares, Retirement",25,1,"2026-01-16 09:13:22"
26,1,FAR-7.1,Retained Earnings,"Prior Period Errors, Dividends, Quasi-Reorganization",26,1,"2026-01-16 09:13:22"
27,1,FAR-7.2,Other Comprehensive Income,Components of OCI,27,1,"2026-01-16 09:13:22"
28,1,FAR-7.3,Book Value Per Share,Computation,28,1,"2026-01-16 09:13:22"
29,1,FAR-8.1,Share-based Payments,"Equity-settled, Cash-settled",29,1,"2026-01-16 09:13:22"
30,1,FAR-8.2,Leases,"Lessee and Lessor Accounting, Sale-Leaseback",30,1,"2026-01-16 09:13:22"
31,1,FAR-8.3,Income Tax,Current and Deferred Tax,31,1,"2026-01-16 09:13:22"
32,1,FAR-8.4,Employee Benefits,"Defined Benefit, Defined Contribution",32,1,"2026-01-16 09:13:22"
33,1,FAR-8.5,Interim Reporting,"Components, Recognition Principles",33,1,"2026-01-16 09:13:22"
34,1,FAR-8.6,Operating Segments,Identification and Reporting,34,1,"2026-01-16 09:13:22"
35,1,FAR-9.0,Other Reporting Frameworks,"PFRS for SMEs, Small Entities, Microenterprises",35,1,"2026-01-16 09:13:22"
36,2,AFAR-1.0,Partnership Formation,"Nature, Scope, Initial Capital Contribution",1,1,"2026-01-16 09:13:22"
37,2,AFAR-1.1,Partnership Operations and Dissolution,"Admission, Withdrawal, Retirement of Partners",2,1,"2026-01-16 09:13:22"
38,2,AFAR-1.2,Partnership Liquidation,Lump-sum and Installment Methods,3,1,"2026-01-16 09:13:22"
39,2,AFAR-2.0,Corporate Liquidation,"Statement of Affairs, Deficiency, Realization",4,1,"2026-01-16 09:13:22"
40,2,AFAR-3.0,Joint Operations,"PFRS 11, Nature, Accounting Methods",5,1,"2026-01-16 09:13:22"
41,2,AFAR-3.1,Joint Ventures,Equity Method Application,6,1,"2026-01-16 09:13:22"
42,2,AFAR-4.0,Revenue from Contracts - Five Steps,PFRS 15 Five-Step Model,7,1,"2026-01-16 09:13:22"
43,2,AFAR-4.1,Revenue Recognition Issues,"Right of Return, Principal-Agent, Licensing",8,1,"2026-01-16 09:13:22"
44,2,AFAR-4.2,Long-term Construction Contracts,"Percentage of Completion, Input/Output Methods",9,1,"2026-01-16 09:13:22"
45,2,AFAR-4.3,Franchise Operations,Initial and Continuing Franchise Fees,10,1,"2026-01-16 09:13:22"
46,2,AFAR-4.4,Consignment Sales,Consignor and Consignee Accounting,11,1,"2026-01-16 09:13:22"
